"End","count"
"2023-02-02 13:12:07.0","59"
"2023-02-02 13:12:08.0","89"
"2023-02-02 13:12:09.0","94"
"2023-02-02 13:12:10.0","79"
"2023-02-02 13:12:11.0","89"
"2023-02-02 13:12:12.0","89"
"2023-02-02 13:12:13.0","79"
"2023-02-02 13:12:14.0","79"
"2023-02-02 13:12:15.0","78"
"2023-02-02 13:12:16.0","73"
"2023-02-02 13:12:17.0","75"
"2023-02-02 13:12:18.0","76"
"2023-02-02 13:12:19.0","92"
"2023-02-02 13:12:20.0","82"
"2023-02-02 13:12:21.0","78"
"2023-02-02 13:12:22.0","79"
"2023-02-02 13:12:23.0","88"
"2023-02-02 13:12:24.0","89"
"2023-02-02 13:12:25.0","87"
"2023-02-02 13:12:26.0","83"
"2023-02-02 13:12:27.0","95"
"2023-02-02 13:12:28.0","86"
"2023-02-02 13:12:29.0","88"
"2023-02-02 13:12:30.0","80"
"2023-02-02 13:12:31.0","87"
"2023-02-02 13:12:32.0","89"
"2023-02-02 13:12:33.0","89"
"2023-02-02 13:12:34.0","82"
"2023-02-02 13:12:35.0","75"
"2023-02-02 13:12:36.0","75"
"2023-02-02 13:12:37.0","79"
"2023-02-02 13:12:38.0","80"
"2023-02-02 13:12:39.0","85"
"2023-02-02 13:12:40.0","90"
"2023-02-02 13:12:41.0","84"
"2023-02-02 13:12:42.0","90"
"2023-02-02 13:12:43.0","94"
"2023-02-02 13:12:44.0","83"
"2023-02-02 13:12:45.0","85"
"2023-02-02 13:12:46.0","83"
"2023-02-02 13:12:47.0","85"
"2023-02-02 13:12:48.0","95"
"2023-02-02 13:12:49.0","98"
"2023-02-02 13:12:50.0","96"
"2023-02-02 13:12:51.0","89"
"2023-02-02 13:12:52.0","89"
"2023-02-02 13:12:53.0","76"
"2023-02-02 13:12:54.0","81"
"2023-02-02 13:12:55.0","89"
"2023-02-02 13:12:56.0","93"
"2023-02-02 13:12:57.0","89"
"2023-02-02 13:12:58.0","92"
"2023-02-02 13:12:59.0","95"
"2023-02-02 13:13:00.0","96"
"2023-02-02 13:13:01.0","87"
"2023-02-02 13:13:02.0","86"
"2023-02-02 13:13:03.0","91"
"2023-02-02 13:13:04.0","85"
"2023-02-02 13:13:05.0","87"
"2023-02-02 13:13:06.0","88"
"2023-02-02 13:13:07.0","78"
"2023-02-02 13:13:08.0","90"
"2023-02-02 13:13:09.0","75"
"2023-02-02 13:13:10.0","78"
"2023-02-02 13:13:11.0","86"
"2023-02-02 13:13:12.0","92"
"2023-02-02 13:13:13.0","87"
"2023-02-02 13:13:14.0","90"
"2023-02-02 13:13:15.0","97"
"2023-02-02 13:13:16.0","82"
"2023-02-02 13:13:17.0","95"
"2023-02-02 13:13:18.0","81"
"2023-02-02 13:13:19.0","82"
"2023-02-02 13:13:20.0","82"
"2023-02-02 13:13:21.0","78"
"2023-02-02 13:13:22.0","82"
"2023-02-02 13:13:23.0","93"
"2023-02-02 13:13:24.0","97"
"2023-02-02 13:13:25.0","94"
"2023-02-02 13:13:26.0","87"
"2023-02-02 13:13:27.0","80"
"2023-02-02 13:13:28.0","90"
"2023-02-02 13:13:29.0","81"
"2023-02-02 13:13:30.0","88"
"2023-02-02 13:13:31.0","83"
"2023-02-02 13:13:32.0","84"
"2023-02-02 13:13:33.0","88"
"2023-02-02 13:13:34.0","92"
"2023-02-02 13:13:35.0","82"
"2023-02-02 13:13:36.0","83"
"2023-02-02 13:13:37.0","88"
"2023-02-02 13:13:38.0","93"
"2023-02-02 13:13:39.0","89"
"2023-02-02 13:13:40.0","94"
"2023-02-02 13:13:41.0","92"
"2023-02-02 13:13:42.0","85"
"2023-02-02 13:13:43.0","84"
"2023-02-02 13:13:44.0","76"
"2023-02-02 13:13:45.0","49"
"2023-02-02 13:13:46.0","60"
"2023-02-02 13:13:47.0","83"
"2023-02-02 13:13:48.0","84"
"2023-02-02 13:13:49.0","92"
"2023-02-02 13:13:50.0","91"
"2023-02-02 13:13:51.0","88"
"2023-02-02 13:13:52.0","86"
"2023-02-02 13:13:53.0","89"
"2023-02-02 13:13:54.0","84"
"2023-02-02 13:13:55.0","92"
"2023-02-02 13:13:56.0","78"
"2023-02-02 13:13:57.0","82"
"2023-02-02 13:13:58.0","84"
"2023-02-02 13:13:59.0","91"
"2023-02-02 13:14:00.0","88"
"2023-02-02 13:14:01.0","88"
"2023-02-02 13:14:02.0","94"
"2023-02-02 13:14:03.0","95"
"2023-02-02 13:14:04.0","1"
