"End","count"
"2023-02-01 23:55:54.0","53"
"2023-02-01 23:55:55.0","79"
"2023-02-01 23:55:56.0","76"
"2023-02-01 23:55:57.0","77"
"2023-02-01 23:55:58.0","76"
"2023-02-01 23:55:59.0","77"
"2023-02-01 23:56:00.0","81"
"2023-02-01 23:56:01.0","90"
"2023-02-01 23:56:02.0","84"
"2023-02-01 23:56:03.0","88"
"2023-02-01 23:56:04.0","86"
"2023-02-01 23:56:05.0","87"
"2023-02-01 23:56:06.0","89"
"2023-02-01 23:56:07.0","89"
"2023-02-01 23:56:08.0","92"
"2023-02-01 23:56:09.0","94"
"2023-02-01 23:56:10.0","89"
"2023-02-01 23:56:11.0","94"
"2023-02-01 23:56:12.0","90"
"2023-02-01 23:56:13.0","75"
"2023-02-01 23:56:14.0","82"
"2023-02-01 23:56:15.0","83"
"2023-02-01 23:56:16.0","84"
"2023-02-01 23:56:17.0","96"
"2023-02-01 23:56:18.0","80"
"2023-02-01 23:56:19.0","79"
"2023-02-01 23:56:20.0","86"
"2023-02-01 23:56:21.0","91"
"2023-02-01 23:56:22.0","88"
"2023-02-01 23:56:23.0","84"
"2023-02-01 23:56:24.0","91"
"2023-02-01 23:56:25.0","85"
"2023-02-01 23:56:26.0","92"
"2023-02-01 23:56:27.0","94"
"2023-02-01 23:56:28.0","84"
"2023-02-01 23:56:29.0","78"
"2023-02-01 23:56:30.0","77"
"2023-02-01 23:56:31.0","83"
"2023-02-01 23:56:32.0","94"
"2023-02-01 23:56:33.0","88"
"2023-02-01 23:56:34.0","97"
"2023-02-01 23:56:35.0","91"
"2023-02-01 23:56:36.0","91"
"2023-02-01 23:56:37.0","90"
"2023-02-01 23:56:38.0","92"
"2023-02-01 23:56:39.0","90"
"2023-02-01 23:56:40.0","83"
"2023-02-01 23:56:41.0","83"
"2023-02-01 23:56:42.0","86"
"2023-02-01 23:56:43.0","93"
"2023-02-01 23:56:44.0","84"
"2023-02-01 23:56:45.0","90"
"2023-02-01 23:56:46.0","89"
"2023-02-01 23:56:47.0","87"
"2023-02-01 23:56:48.0","82"
"2023-02-01 23:56:49.0","81"
"2023-02-01 23:56:50.0","93"
"2023-02-01 23:56:51.0","91"
"2023-02-01 23:56:52.0","90"
"2023-02-01 23:56:53.0","92"
"2023-02-01 23:56:54.0","95"
"2023-02-01 23:56:55.0","86"
"2023-02-01 23:56:56.0","84"
"2023-02-01 23:56:57.0","91"
"2023-02-01 23:56:58.0","90"
"2023-02-01 23:56:59.0","90"
"2023-02-01 23:57:00.0","77"
"2023-02-01 23:57:01.0","81"
"2023-02-01 23:57:02.0","84"
"2023-02-01 23:57:03.0","89"
"2023-02-01 23:57:04.0","92"
"2023-02-01 23:57:05.0","95"
"2023-02-01 23:57:06.0","80"
"2023-02-01 23:57:07.0","90"
"2023-02-01 23:57:08.0","93"
"2023-02-01 23:57:09.0","85"
"2023-02-01 23:57:10.0","77"
"2023-02-01 23:57:11.0","80"
"2023-02-01 23:57:12.0","89"
"2023-02-01 23:57:13.0","83"
"2023-02-01 23:57:14.0","79"
"2023-02-01 23:57:15.0","81"
"2023-02-01 23:57:16.0","84"
"2023-02-01 23:57:17.0","95"
"2023-02-01 23:57:18.0","94"
"2023-02-01 23:57:19.0","94"
"2023-02-01 23:57:20.0","101"
"2023-02-01 23:57:21.0","94"
"2023-02-01 23:57:22.0","92"
"2023-02-01 23:57:23.0","91"
"2023-02-01 23:57:24.0","86"
"2023-02-01 23:57:25.0","93"
"2023-02-01 23:57:26.0","96"
"2023-02-01 23:57:27.0","86"
"2023-02-01 23:57:28.0","77"
"2023-02-01 23:57:29.0","81"
"2023-02-01 23:57:30.0","81"
"2023-02-01 23:57:31.0","93"
"2023-02-01 23:57:32.0","88"
"2023-02-01 23:57:33.0","93"
"2023-02-01 23:57:34.0","94"
"2023-02-01 23:57:35.0","96"
"2023-02-01 23:57:36.0","96"
"2023-02-01 23:57:37.0","94"
"2023-02-01 23:57:38.0","92"
"2023-02-01 23:57:39.0","88"
"2023-02-01 23:57:40.0","90"
"2023-02-01 23:57:41.0","86"
"2023-02-01 23:57:42.0","92"
"2023-02-01 23:57:43.0","81"
"2023-02-01 23:57:44.0","87"
"2023-02-01 23:57:45.0","88"
"2023-02-01 23:57:46.0","94"
"2023-02-01 23:57:47.0","90"
"2023-02-01 23:57:48.0","62"
